Date Opened,Time Opened,Opening Price,Legs,Premium,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close,P/L,No. of Contracts,Funds at Close,Margin Req.,Strategy,Opening Commissions + Fees,Closing Commissions + Fees,Opening Short/Long Ratio,Closing Short/Long Ratio,Opening VIX,Closing VIX,Gap,Movement,Max Profit,Max Loss
"2023-10-04","09:33:00",4239.91,"1 Oct 4 4240 P STO 12.90 | 1 Oct 4 4240 C STO 12.95 | 1 Oct 4 4135 P BTO 0.10 | 1 Oct 4 4315 C BTO 0.15",2560,4235.64,"2023-10-04","11:12:00",2040,"Profit Target",514.8,1,161799,7940,"",2.6,2.6,103.4,137,19.46,19.31,4.38,6.08,20.31,-10.35
"2023-10-03","09:33:00",4268.29,"1 Oct 3 4270 P STO 13.90 | 1 Oct 3 4270 C STO 12.90 | 1 Oct 3 4165 P BTO 0.15 | 1 Oct 3 4340 C BTO 0.15",2650,4243.38,"2023-10-03","10:17:00",3360,"Stop Loss",-715.2,1,161284.2,7850,"",2.6,2.6,89.33,68.2,18.6,19.3,-18.64,-1.46,7.74,-26.79
"2023-10-02","11:09:00",4282.57,"1 Oct 2 4285 P STO 11.30 | 1 Oct 2 4285 C STO 8.80 | 1 Oct 2 4200 P BTO 0.15 | 1 Oct 2 4345 C BTO 0.15",1980,4265.75,"2023-10-02","12:11:00",2495,"Stop Loss",-520.2,1,161999.4,6520,"",2.6,2.6,67,72.29,17.86,18.18,-3.53,-1.95,7.83,-26.01
"2023-10-02","09:33:00",4284.67,"1 Oct 2 4285 P STO 13.00 | 1 Oct 2 4285 C STO 11.50 | 1 Oct 2 4190 P BTO 0.10 | 1 Oct 2 4360 C BTO 0.15",2425,4284.66,"2023-10-02","11:08:00",1960,"Profit Target",459.8,1,162519.6,7075,"",2.6,2.6,98,99,18.11,17.79,-3.53,0.15,19.18,0
"2023-09-28","09:33:00",4269.22,"1 Sep 28 4270 P STO 14.60 | 1 Sep 28 4270 C STO 14.25 | 1 Sep 28 4160 P BTO 0.15 | 1 Sep 28 4355 C BTO 0.10",2860,4302.46,"2023-09-28","11:32:00",3605,"Stop Loss",-750.2,1,162059.8,8140,"",2.6,2.6,115.4,121.17,18.61,17.52,-4.86,-0.43,13.81,-26.05
"2023-09-27","09:33:00",4289.25,"1 Sep 27 4290 P STO 11.85 | 1 Sep 27 4290 C STO 11.00 | 1 Sep 27 4200 P BTO 0.15 | 1 Sep 27 4360 C BTO 0.10",2260,4265.83,"2023-09-27","10:58:00",2870,"Stop Loss",-615.2,1,162810,6740,"",2.6,2.6,91.4,96.67,18.32,19.06,9.1,6.62,5.97,-26.99
"2023-09-26","12:42:00",4294.11,"1 Sep 26 4295 P STO 8.90 | 1 Sep 26 4295 C STO 8.25 | 1 Sep 26 4230 P BTO 0.10 | 1 Sep 26 4345 C BTO 0.15",1690,4277.94,"2023-09-26","13:41:00",2130,"Stop Loss",-445.2,1,163425.2,4810,"",2.6,2.6,68.6,107.5,18.21,18.67,-24.56,-18.77,5.62,-26.04
"2023-09-26","09:33:00",4307.44,"1 Sep 26 4305 P STO 10.80 | 1 Sep 26 4305 C STO 13.55 | 1 Sep 26 4205 P BTO 0.10 | 1 Sep 26 4375 C BTO 0.15",2410,4293.08,"2023-09-26","12:41:00",1940,"Profit Target",464.8,1,163870.4,7590,"",2.6,2.6,97.4,130.33,17.76,18.24,-24.56,-5.44,19.5,-17.01
"2023-09-25","11:06:00",4311.54,"1 Sep 25 4310 P STO 9.40 | 1 Sep 25 4310 C STO 10.70 | 1 Sep 25 4230 P BTO 0.10 | 1 Sep 25 4370 C BTO 0.15",1985,4330.05,"2023-09-25","11:20:00",2555,"Stop Loss",-575.2,1,163405.6,6015,"",2.6,2.6,80.4,57.78,17.96,17.33,-9.44,0.92,1.01,-28.72
"2023-09-25","09:33:00",4305.2,"1 Sep 25 4305 P STO 13.05 | 1 Sep 25 4305 C STO 13.00 | 1 Sep 25 4215 P BTO 0.15 | 1 Sep 25 4380 C BTO 0.15",2575,4310.34,"2023-09-25","11:05:00",2070,"Profit Target",499.8,1,163980.8,6425,"",2.6,2.6,86.83,104.5,18.21,18,-9.44,-5.42,19.61,-6.02
"2023-08-21","09:33:00",4383.52,"1 Aug 21 4385 P STO 11.30 | 1 Aug 21 4385 C STO 10.05 | 1 Aug 21 4290 P BTO 0.15 | 1 Aug 21 4450 C BTO 0.10",2110,4360.72,"2023-08-21","11:54:00",2720,"Stop Loss",-615.2,1,163481,7390,"",2.6,2.6,85.4,109.8,17.73,18.1,10.57,3.24,9.95,-28.91
"2023-08-18","09:33:00",4346.38,"1 Aug 18 4345 P STO 10.05 | 1 Aug 18 4345 C STO 14.00 | 1 Aug 18 4225 P BTO 0.10 | 1 Aug 18 4430 C BTO 0.15",2380,4371.22,"2023-08-18","11:59:00",2985,"Stop Loss",-610.2,1,164096.2,9620,"",2.6,2.6,96.2,150.25,18.53,17.65,-25.48,1.5,9.87,-25.42
"2023-08-03","10:35:00",4491.77,"1 Aug 3 4490 P STO 7.80 | 1 Aug 3 4490 C STO 9.80 | 1 Aug 3 4425 P BTO 0.10 | 1 Aug 3 4545 C BTO 0.15",1735,4509.86,"2023-08-03","11:53:00",2180,"Stop Loss",-450.2,1,164706.4,4765,"",2.6,2.6,70.4,88.2,17.1,16.16,-19.12,-2.5,7.2,-25.65
"2023-08-03","09:33:00",4490.88,"1 Aug 3 4490 P STO 10.00 | 1 Aug 3 4490 C STO 12.00 | 1 Aug 3 4410 P BTO 0.15 | 1 Aug 3 4565 C BTO 0.10",2175,4489.89,"2023-08-03","10:34:00",1750,"Profit Target",419.8,1,165156.6,5825,"",2.6,2.6,88,117.67,17.08,17.17,-19.12,-3.39,19.54,-0.92
"2023-06-01","09:33:00",4177.75,"1 Jun 1 4180 P STO 11.90 | 1 Jun 1 4180 C STO 8.60 | 1 Jun 1 4080 P BTO 0.10 | 1 Jun 1 4245 C BTO 0.15",2025,4179.43,"2023-06-01","10:22:00",1635,"Profit Target",384.8,1,164736.8,7975,"",2.6,2.6,82,66.4,17.55,16.88,3.2,-5.28,19.26,0
"2023-05-31","09:33:00",4190.94,"1 May 31 4190 P STO 10.15 | 1 May 31 4190 C STO 10.60 | 1 May 31 4085 P BTO 0.10 | 1 May 31 4275 C BTO 0.10",2055,4167.49,"2023-05-31","10:38:00",2665,"Stop Loss",-615.2,1,164352,8445,"",2.6,2.6,103.75,134.25,17.94,18.36,-14.78,0.2,9.25,-29.68
"2023-05-30","09:33:00",4228.71,"1 May 30 4230 P STO 11.50 | 1 May 30 4230 C STO 9.90 | 1 May 30 4105 P BTO 0.10 | 1 May 30 4300 C BTO 0.15",2115,4203.09,"2023-05-30","11:21:00",2845,"Stop Loss",-735.2,1,164967.2,10385,"",2.6,2.6,85.6,190.67,17.06,17.81,21.26,2,17.02,-34.52
"2023-05-26","09:33:00",4162.51,"1 May 26 4165 P STO 13.90 | 1 May 26 4165 C STO 11.10 | 1 May 26 4050 P BTO 0.10 | 1 May 26 4240 C BTO 0.15",2475,4190.3,"2023-05-26","10:25:00",3100,"Stop Loss",-630.2,1,165702.4,9025,"",2.6,2.6,100,89.57,18.62,17.75,4.88,6.35,8.28,-25.25
"2023-05-25","11:44:00",4133.74,"1 May 25 4135 P STO 9.25 | 1 May 25 4135 C STO 8.10 | 1 May 25 4050 P BTO 0.15 | 1 May 25 4185 C BTO 0.15",1705,4153.48,"2023-05-25","13:31:00",2140,"Stop Loss",-440.2,1,166332.6,6795,"",2.6,2.6,57.83,54.5,19.7,19.06,40.47,-21.97,8.21,-25.51
"2023-05-25","10:19:00",4134.74,"1 May 25 4135 P STO 11.20 | 1 May 25 4135 C STO 10.45 | 1 May 25 4035 P BTO 0.15 | 1 May 25 4205 C BTO 0.15",2135,4133.65,"2023-05-25","11:43:00",1705,"Profit Target",424.8,1,166772.8,7865,"",2.6,2.6,72.17,86.25,19.36,19.71,40.47,-20.97,20.14,-3.28
"2023-05-25","09:33:00",4137.78,"1 May 25 4140 P STO 15.20 | 1 May 25 4140 C STO 12.20 | 1 May 25 4015 P BTO 0.15 | 1 May 25 4220 C BTO 0.15",2710,4136.23,"2023-05-25","10:18:00",2165,"Profit Target",539.8,1,166348,9790,"",2.6,2.6,91.33,109.25,19.35,19.31,40.47,-17.93,20.11,-0.18
"2023-05-24","13:42:00",4117.06,"1 May 24 4115 P STO 6.90 | 1 May 24 4115 C STO 8.95 | 1 May 24 4060 P BTO 0.15 | 1 May 24 4175 C BTO 0.10",1560,4113.42,"2023-05-24","14:14:00",1250,"Profit Target",304.8,1,165808.2,4440,"",2.6,2.6,63.4,63.5,19.96,20.22,-12.62,-15.9,19.87,-0.32
"2023-05-24","11:27:00",4121.33,"1 May 24 4120 P STO 9.30 | 1 May 24 4120 C STO 10.50 | 1 May 24 4025 P BTO 0.10 | 1 May 24 4190 C BTO 0.15",1955,4117.26,"2023-05-24","13:41:00",1565,"Profit Target",384.8,1,165503.4,7545,"",2.6,2.6,79.2,157.5,19.86,19.96,-12.62,-11.63,19.95,-16.62
"2023-05-24","09:33:00",4123.6,"1 May 24 4125 P STO 12.90 | 1 May 24 4125 C STO 12.00 | 1 May 24 4000 P BTO 0.10 | 1 May 24 4205 C BTO 0.15",2465,4119.58,"2023-05-24","11:26:00",1990,"Profit Target",469.8,1,165118.6,10035,"",2.6,2.6,99.6,100.5,19.89,19.91,-12.62,-9.36,19.27,-6.29
"2023-05-23","11:15:00",4181.34,"1 May 23 4180 P STO 5.95 | 1 May 23 4180 C STO 7.30 | 1 May 23 4110 P BTO 0.10 | 1 May 23 4225 C BTO 0.15",1300,4167.18,"2023-05-23","12:43:00",1715,"Stop Loss",-420.2,1,164648.8,5700,"",2.6,2.6,53,58.17,17.7,18.35,-15.83,4.54,10.38,-31.92
"2023-05-23","10:18:00",4180.77,"1 May 23 4180 P STO 7.75 | 1 May 23 4180 C STO 8.80 | 1 May 23 4095 P BTO 0.10 | 1 May 23 4240 C BTO 0.15",1630,4181.55,"2023-05-23","11:14:00",1310,"Profit Target",314.8,1,165069,6870,"",2.6,2.6,66.2,66.5,17.85,17.69,-15.83,3.97,19.63,-2.15
"2023-05-23","09:33:00",4178.9,"1 May 23 4180 P STO 10.60 | 1 May 23 4180 C STO 10.30 | 1 May 23 4075 P BTO 0.10 | 1 May 23 4245 C BTO 0.15",2065,4177.94,"2023-05-23","10:17:00",1655,"Profit Target",404.8,1,164754.2,8435,"",2.6,2.6,83.6,67.2,17.87,17.97,-15.83,2.1,19.85,-2.91
"2023-05-22","09:33:00",4193.43,"1 May 22 4195 P STO 10.00 | 1 May 22 4195 C STO 9.35 | 1 May 22 4090 P BTO 0.10 | 1 May 22 4260 C BTO 0.15",1910,4208.36,"2023-05-22","09:42:00",2430,"Stop Loss",-525.2,1,164349.4,8590,"",2.6,2.6,77.4,55,17.09,16.98,-1.2,2.65,0,-27.23
"2023-05-17","11:00:00",4125.21,"1 May 17 4125 P STO 6.70 | 1 May 17 4125 C STO 7.05 | 1 May 17 4045 P BTO 0.10 | 1 May 17 4175 C BTO 0.10",1355,4139.08,"2023-05-17","12:37:00",1705,"Stop Loss",-355.2,1,164874.6,6645,"",2.6,2.6,68.75,57.83,17.45,17.05,12.95,2.36,6.27,-25.83
"2023-05-17","09:33:00",4127.66,"1 May 17 4130 P STO 10.10 | 1 May 17 4130 C STO 7.60 | 1 May 17 4035 P BTO 0.15 | 1 May 17 4180 C BTO 0.15",1740,4125.09,"2023-05-17","10:59:00",1395,"Profit Target",339.8,1,165229.8,7760,"",2.6,2.6,59,70.75,17.3,17.47,12.95,4.81,19.83,-20.98
"2023-05-16","13:03:00",4127.77,"1 May 16 4130 P STO 6.50 | 1 May 16 4130 C STO 4.15 | 1 May 16 4080 P BTO 0.10 | 1 May 16 4160 C BTO 0.15",1040,4117.98,"2023-05-16","14:32:00",1325,"Stop Loss",-290.2,1,164890,3960,"",2.6,2.6,42.6,89.33,17.38,17.75,-8.33,-0.18,13.94,-27.4
"2023-05-16","11:31:00",4126.17,"1 May 16 4125 P STO 6.35 | 1 May 16 4125 C STO 7.30 | 1 May 16 4070 P BTO 0.15 | 1 May 16 4170 C BTO 0.10",1340,4127.75,"2023-05-16","13:02:00",1080,"Profit Target",254.8,1,165180.2,4160,"",2.6,2.6,54.6,55,17.48,17.39,-8.33,-1.78,19.4,-10.45
"2023-05-16","09:33:00",4128.33,"1 May 16 4130 P STO 9.30 | 1 May 16 4130 C STO 8.35 | 1 May 16 4035 P BTO 0.10 | 1 May 16 4180 C BTO 0.15",1740,4126.55,"2023-05-16","11:30:00",1360,"Profit Target",374.8,1,164925.4,7760,"",2.6,2.6,70.6,91.67,17.47,17.49,-8.33,0.38,21.84,-15.52
"2023-05-15","09:33:00",4128.14,"1 May 15 4130 P STO 10.65 | 1 May 15 4130 C STO 8.30 | 1 May 15 4015 P BTO 0.10 | 1 May 15 4180 C BTO 0.15",1870,4110.79,"2023-05-15","10:15:00",2355,"Stop Loss",-490.2,1,164550.6,9630,"",2.6,2.6,75.8,118.75,17.75,18.12,2.57,1.49,0,-25.94
"2023-05-11","13:15:00",4125.15,"1 May 11 4125 P STO 5.95 | 1 May 11 4125 C STO 6.10 | 1 May 11 4080 P BTO 0.15 | 1 May 11 4160 C BTO 0.15",1175,4113.94,"2023-05-11","13:48:00",1510,"Stop Loss",-340.2,1,165040.8,3325,"",2.6,2.6,40.17,24.23,17.36,17.76,-5.4,-7.09,9.79,-28.51
"2023-05-11","10:33:00",4114.99,"1 May 11 4115 P STO 9.70 | 1 May 11 4115 C STO 9.60 | 1 May 11 4050 P BTO 0.15 | 1 May 11 4175 C BTO 0.15",1900,4124.67,"2023-05-11","13:14:00",1490,"Profit Target",404.8,1,165381,4600,"",2.6,2.6,64.33,100.33,17.84,17.37,-5.4,-17.25,21.58,-2.63
"2023-05-11","09:33:00",4120.75,"1 May 11 4120 P STO 12.10 | 1 May 11 4120 C STO 11.70 | 1 May 11 4025 P BTO 0.15 | 1 May 11 4190 C BTO 0.10",2355,4117.59,"2023-05-11","10:32:00",1895,"Profit Target",454.8,1,164976.2,7145,"",2.6,2.6,95.2,127.33,18.05,17.75,-5.4,-11.49,19.53,-1.91
"2023-05-09","13:02:00",4122.96,"1 May 9 4125 P STO 5.95 | 1 May 9 4125 C STO 3.60 | 1 May 9 4090 P BTO 0.15 | 1 May 9 4150 C BTO 0.15",925,4127.58,"2023-05-09","14:33:00",730,"Profit Target",189.8,1,164521.4,2575,"",2.6,2.6,31.83,30.2,17.43,17.37,-13.87,-1.29,21.08,-0.54
"2023-05-09","11:48:00",4123.36,"1 May 9 4125 P STO 6.50 | 1 May 9 4125 C STO 5.05 | 1 May 9 4080 P BTO 0.15 | 1 May 9 4155 C BTO 0.15",1125,4124.08,"2023-05-09","13:01:00",910,"Profit Target",209.8,1,164331.6,3375,"",2.6,2.6,38.5,37.4,17.55,17.38,-13.87,-0.89,19.11,-8
"2023-05-09","10:35:00",4120.49,"1 May 9 4120 P STO 7.15 | 1 May 9 4120 C STO 7.80 | 1 May 9 4050 P BTO 0.10 | 1 May 9 4165 C BTO 0.15",1470,4123.23,"2023-05-09","11:47:00",1190,"Profit Target",274.8,1,164121.8,5530,"",2.6,2.6,59.8,60.5,17.74,17.55,-13.87,-3.76,19.05,-0.68
